id,company_name,parent_company
3,pixar animation studios,The Walt Disney Company
559,tristar pictures,tristar pictures
2550,teitler film,teitler film
10201,interscope communications,interscope communications
6194,warner bros.,Warner Bros. Entertainment Inc.
19464,lancaster gate,lancaster gate
306,twentieth century fox film corporation,Fox Corporation
5842,sandollar productions,sandollar productions
9195,touchstone pictures,touchstone pictures
508,regency enterprises,regency enterprises
675,forward pass,forward pass
4,paramount pictures,Paramount Global
258,scott rudin productions,scott rudin productions
932,mirage enterprises,mirage enterprises
14941,constellation entertainment,constellation entertainment
55873,worldwide,worldwide
58079,mont blanc entertainment gmbh,mont blanc entertainment gmbh
2,walt disney pictures,The Walt Disney Company
33,universal pictures,"NBCUniversal Media, LLC."
21437,imperial entertainment,imperial entertainment
23770,signature entertainment,signature entertainment
60,united artists,united artists
7576,eon productions,eon productions
5,columbia pictures,columbia pictures
97,castle rock entertainment,castle rock entertainment
6368,enigma pictures,enigma pictures
56,amblin entertainment,amblin entertainment
4105,amblimation,amblimation
915,hollywood pictures,hollywood pictures
1504,cinergi pictures entertainment,cinergi pictures entertainment
183,le studio canal+,le studio canal+
415,laurence mark productions,laurence mark productions
8411,metro-goldwyn-mayer (mgm),Metro-Goldwyn-Mayer Inc.
14723,carolco pictures,carolco pictures
10898,légende entreprises,légende entreprises
11583,syalis da,syalis da
11584,de fina-cappa,de fina-cappa
441,columbia pictures corporation,columbia pictures corporation
14,miramax films,miramax films
59,a band apart,a band apart
5682,o entertainment,o entertainment
10210,morgan creek productions,morgan creek productions
216,jersey films,jersey films
10104,new regency pictures,new regency pictures
1885,silver pictures,silver pictures
5358,canal+,canal+
10308,dino de laurentiis company,dino de laurentiis company
23397,donner/shuler-donner productions,donner/shuler-donner productions
25061,evansgideon/lazar,evansgideon/lazar
175,caravan pictures,caravan pictures
15547,intial productions,intial productions
12,new line cinema,new line cinema
288,bbc films,bbc films
311,procirep,procirep
590,constellation productions,constellation productions
591,france 3 cinéma,france 3 cinéma
592,claudie ossard productions,claudie ossard productions
850,eurimages,eurimages
851,media programme of the european union,media programme of the european union
1871,cofimage 5,cofimage 5
6639,televisión española (tve),televisión española (tve)
7237,tele münchen fernseh produktionsgesellschaft (tmg),tele münchen fernseh produktionsgesellschaft (tmg)
8170,club d investissement média,club d investissement média
9335,canal+ españa,canal+ españa
12009,elías querejeta producciones cinematográficas s.l.,elías querejeta producciones cinematográficas s.l.
18367,centre national de la cinématographie (cnc),centre national de la cinématographie (cnc)
25020,victoires productions,victoires productions
25021,constellation,constellation
25129,lumière pictures,lumière pictures
47532,canal+,canal+
68517,studio image,studio image
79437,cofimage 4,cofimage 4
79438,ossane,ossane
79439,phoenix images,phoenix images
2588,ministère des affaires étrangères,ministère des affaires étrangères
4507,alpha films,alpha films
23647,la sept cinéma,la sept cinéma
10103,via rosa productions,via rosa productions
10288,don simpson/jerry bruckheimer films,don simpson/jerry bruckheimer films
507,atlas entertainment,atlas entertainment
17031,classico,classico
70801,iwerks entertainment,iwerks entertainment
2537,kennedy miller productions,kennedy miller productions
694,studiocanal,studiocanal
874,cinéa,cinéa
8363,euston films,euston films
19316,freeway films,freeway films
30226,european co-production fund,european co-production fund
31080,polygram filmed entertainment,polygram filmed entertainment
44821,orsans productions,orsans productions
406,havoc,havoc
1382,polygram filmed entertainment,polygram filmed entertainment
10163,working title films,working title films
53390,sony new technologies,Sony Group Corporation
6130,dualstar productions,dualstar productions
11661,rysher entertainment,rysher entertainment
89131,orr & cruickshank,orr & cruickshank
53009,miramax,miramax
85681,distant horizon,distant horizon
89840,alpine pty limited,alpine pty limited
871,british screen,british screen
34237,mayfair entertainment international,mayfair entertainment international
476,underworld entertainment,underworld entertainment
4174,threshold entertainment,threshold entertainment
364,the rank organisation,the rank organisation
4286,juno pix,juno pix
65394,cecchi gori pictures,cecchi gori pictures
10217,walt disney feature animation,The Walt Disney Company
2480,alliance communications corporation,alliance communications corporation
361,blue parrot productions,blue parrot productions
9168,bad hat harry productions,bad hat harry productions
1030,magnolia pictures,magnolia pictures
7832,ciby 2000,ciby 2000
7320,telefilm canada,telefilm canada
10260,melenny productions,melenny productions
802,egg pictures,egg pictures
862,the kennedy/marshall company,the kennedy/marshall company
916,the charlie mopic company,the charlie mopic company
3492,island pictures,island pictures
5441,ivory way productions,ivory way productions
11061,motion picture corporation of america (mpca),motion picture corporation of america (mpca)
36390,3 arts entertainment,3 arts entertainment
38003,weasel productions,weasel productions
82,renn productions,renn productions
1614,les films flam,les films flam
3823,tf1 films production,tf1 films production
7405,dimension films,dimension films
11705,los hooligans productions,los hooligans productions
5841,castleberg productions,castleberg productions
1742,les films 13,les films 13
22123,tf1,tf1
3388,the movie network (tmn),the movie network (tmn)
4899,allegro films,allegro films
7958,fuji eight company ltd.,fuji eight company ltd.
23096,fries film group,fries film group
23097,super ecran,super ecran
23098,triumph films,triumph films
4606,zweites deutsches fernsehen (zdf),zweites deutsches fernsehen (zdf)
83201,ciak filmproduktion,ciak filmproduktion
93174,bluehorse films,bluehorse films
38953,i.r.i.b. channel 2,i.r.i.b. channel 2
38954,ferdos films,ferdos films
575,bergen film,bergen film
576,bard entertainments,bard entertainments
577,nps televisie,nps televisie
38196,bet pictures,bet pictures
38197,united image entertainme,united image entertainme
2492,playhouse international pictures,playhouse international pictures
8888,the samuel goldwyn company,the samuel goldwyn company
1644,largo entertainment,largo entertainment
1645,scott free productions,scott free productions
3311,joe wizan/todd black,joe wizan/todd black
4665,addis wechsler pictures,addis wechsler pictures
18737,nfh productions,nfh productions
979,woods entertainment,woods entertainment
456,wcg entertainment productions,wcg entertainment productions
11362,mark gordon productions,mark gordon productions
75942,midwinter films,midwinter films
5869,les productions lazennec,les productions lazennec
16366,la sept cinéma,la sept cinéma
22684,kasso inc. productions,kasso inc. productions
68518,cofinergie 6,cofinergie 6
181,channel four films,channel four films
3324,british broadcasting corporation (bbc),british broadcasting corporation (bbc)
7025,westdeutscher rundfunk (wdr),westdeutscher rundfunk (wdr)
12113,canadian broadcasting corporation (cbc),canadian broadcasting corporation (cbc)
12911,cinemax reel life,cinemax reel life
12912,inpictures,inpictures
12913,lafayette films,lafayette films
18,gracie films,gracie films
10355,spelling films,spelling films
1606,brillstein-grey entertainment,brillstein-grey entertainment
3929,robert simonds productions,robert simonds productions
171,malpaso productions,malpaso productions
2504,jim henson productions,jim henson productions
6254,"jim henson company, the","jim henson company, the"
4564,icon entertainment international,icon entertainment international
7965,the ladd company,the ladd company
11353,b.h. finance c.v.,b.h. finance c.v.
46059,italo/judeo productions,italo/judeo productions
46060,bill/phillips,bill/phillips
2521,golden harvest company,golden harvest company
806,téléfilm canada,téléfilm canada
2055,skyline films,skyline films
3498,malofilm,malofilm
9116,société de développement des entreprises culturelles (sodec),société de développement des entreprises culturelles (sodec)
12745,british screen productions,british screen productions
17027,national film board of canada (nfb),national film board of canada (nfb)
22150,imx communications,imx communications
38673,glace bay pictures,glace bay pictures
38674,ciné télé action,ciné télé action
40534,nova scotia film development corporation,nova scotia film development corporation
85045,ranfilm,ranfilm
83,france 2 cinéma,france 2 cinéma
883,les productions du champ poirier,les productions du champ poirier
885,téléma productions,téléma productions
3236,bavaria film and television fund,bavaria film and television fund
11308,savoy pictures,savoy pictures
540,jet tone production,jet tone production
10932,the criterion collection,the criterion collection
371,cecchi gori group tiger cinematografica,cecchi gori group tiger cinematografica
264,studio babelsberg,studio babelsberg
1766,dieter geissler filmproduktion,dieter geissler filmproduktion
1979,cinevox filmproduktion gmbh,cinevox filmproduktion gmbh
22029,canal horizons,canal horizons
22618,mat films,mat films
71842,cinétéléfilms,cinétéléfilms
8,fine line features,fine line features
1898,bórd scannán na héireann,bórd scannán na héireann
93488,cigua films,cigua films
93489,d'pelicula,d'pelicula
68229,couch potatoe productions,couch potatoe productions
38778,academy,academy
94477,mayfair films,mayfair films
94478,iberoamerica films,iberoamerica films
43,fox searchlight pictures,Fox Corporation
5996,bbc,bbc
16027,portman productions,portman productions
3644,zenith entertainment,zenith entertainment
3906,american playhouse,american playhouse
7248,union générale cinématographique (ugc),union générale cinématographique (ugc)
37909,true fiction pictures,true fiction pictures
23,imagine entertainment,imagine entertainment
8989,talisman productions,talisman productions
236,october films,october films
1214,guild,guild
5353,fastnet films,fastnet films
386,paris films productions,paris films productions
387,five films,five films
11290,robert et raymond hakim,robert et raymond hakim
30334,interal,interal
11098,the harvey entertainment company,the harvey entertainment company
4319,40 acres & a mule filmworks,40 acres & a mule filmworks
7383,"kennedy/marshall company, the","kennedy/marshall company, the"
4532,superior pictures,superior pictures
2510,mundy lane entertainment,mundy lane entertainment
729,why not productions,why not productions
1474,desperate pictures,desperate pictures
2765,blurco,blurco
18902,the teen angst movie company,the teen angst movie company
20740,merchant ivory productions,merchant ivory productions
10158,first knight productions,first knight productions
644,alcor films,alcor films
5739,donner/shuler-donner productions,donner/shuler-donner productions
87394,suftley,suftley
12909,the booking office,the booking office
12910,workin' man films,workin' man films
13187,jdi productions,jdi productions
13190,lemon sky productions,lemon sky productions
3557,seraphim films,seraphim films
1203,the ontario film development corporation,the ontario film development corporation
2267,first choice films,first choice films
4350,atlantis films,atlantis films
7828,max films productions,max films productions
11578,super écran,super écran
35859,société générale des industries culturelles du québec (sogic),société générale des industries culturelles du québec (sogic)
37,gramercy pictures,gramercy pictures
11462,alphaville films,alphaville films
16934,view askew productions,view askew productions
2106,saban entertainment,saban entertainment
9255,toei company,toei company
16561,comet film produktion gmbh,comet film produktion gmbh
38959,avrora media,avrora media
38960,cobblestone pictures,cobblestone pictures
37897,kino link company,kino link company
436,1492 pictures,1492 pictures
37890,party productions,party productions
28205,"samuel goldwyn company, the","samuel goldwyn company, the"
1422,killer films,killer films
38692,kardana films,kardana films
39861,chemical films,chemical films
705,spring creek productions,spring creek productions
16368,hawn / sylbert movie company,hawn / sylbert movie company
3864,butcher's run films,butcher's run films
574,lightstorm entertainment,lightstorm entertainment
1080,beta film,beta film
1147,madeleine films,madeleine films
14680,parc film,parc film
6849,société française de production (sfp),société française de production (sfp)
16026,fit productions,fit productions
17825,seagal/nasso productions,seagal/nasso productions
21480,victor company of japan (jvc),victor company of japan (jvc)
63906,cutting edge films,cutting edge films
2851,zucker brothers productions,zucker brothers productions
1073,gordon company,gordon company
1302,davis entertainment,davis entertainment
6092,licht/mueller film corporation,licht/mueller film corporation
6068,hbo,Warner Bros. Entertainment Inc.
6911,a bandapart,a bandapart
6453,studio trite,studio trite
6454,caméra one,caméra one
6367,polygram audiovisuel,polygram audiovisuel
98,detour film production,detour film production
6365,jack giarraputo productions,jack giarraputo productions
18189,spelling films international,spelling films international
16192,hera productions,hera productions
1595,island world,island world
4867,full moon entertainment,full moon entertainment
4127,lantana,lantana
23808,price entertainment,price entertainment
70,american zoetrope,american zoetrope
11407,baltimore pictures,baltimore pictures
15709,keystone pictures,keystone pictures
52095,dream man productions inc,dream man productions inc
826,capitol films,capitol films
8277,flach film,flach film
68141,les films de l'astre,les films de l'astre
5528,ang lee productions,ang lee productions
10565,good machine,good machine
25345,central motion pictures,central motion pictures
10166,alliance entertainment,alliance entertainment
12800,ego film arts,ego film arts
34207,prufrock pictures,prufrock pictures
21,metro-goldwyn-mayer,metro-goldwyn-mayer
1429,italian international film,italian international film
2359,stéphan films,stéphan films
37581,mg,mg
13042,kartemquin films,kartemquin films
11,wingnut films,wingnut films
294,new zealand film commission,new zealand film commission
2306,fontana productions,fontana productions
2630,majestic films international,majestic films international
11393,bregman/baer productions,bregman/baer productions
360,geffen pictures,geffen pictures
2370,merchant ivory productions,merchant ivory productions
8816,northern lights entertainment,northern lights entertainment
414,fountainbridge films,fountainbridge films
36854,lee rich productions,lee rich productions
4063,trimark pictures,trimark pictures
1,lucasfilm,The Walt Disney Company
983,parallax pictures,parallax pictures
9209,mk2 productions,mk2 productions
84803,aviacsa,aviacsa
84804,cinevista,cinevista
348,bedford falls productions,bedford falls productions
1656,pangaea,pangaea
285,live entertainment,live entertainment
2832,cineville,cineville
3268,home box office (hbo),Warner Bros. Entertainment Inc.
36836,showcase entertaiment inc.,showcase entertaiment inc.
798,samuel goldwyn company,samuel goldwyn company
23022,close call films,close call films
20928,majestic films international,majestic films international
89873,newcomb productions,newcomb productions
2428,wolper organization,wolper organization
594,capella international,capella international
761,cinehaus,cinehaus
7260,toei,toei
42935,distant justice joint venture,distant justice joint venture
11139,metrodome films,metrodome films
7954,filmwerks,filmwerks
4198,ixtlan,ixtlan
68551,j d productions,j d productions
293,avalon studios,avalon studios
295,new zealand on air,new zealand on air
17067,cinetel pictures,cinetel pictures
17068,mg entertainment,mg entertainment
824,kopelson entertainment,kopelson entertainment
2154,punch productions,punch productions
16775,arnold kopelson productions,arnold kopelson productions
9,gaumont,gaumont
31715,gramercy pictures (i),gramercy pictures (i)
37580,mvp films,mvp films
316,wildwood enterprises,wildwood enterprises
84839,cecile company,cecile company
84840,thousand cranes filmworks,thousand cranes filmworks
6187,ard/degeto film gmbh,ard/degeto film gmbh
6541,d.a. films,d.a. films
7089,france2 cinéma,france2 cinéma
8923,wmg film,wmg film
18495,n.e.f. filmproduktion und vertriebs gmbh,n.e.f. filmproduktion und vertriebs gmbh
75913,rcs films & tv,rcs films & tv
12883,nomura babcock & brown,The Walt Disney Company
38,zespół filmowy tor,zespół filmowy tor
1245,télévision suisse-romande,télévision suisse-romande
1610,ced productions,ced productions
16953,norstar entertainment,norstar entertainment
24946,west wind entertainment,west wind entertainment
4108,rich animation studios,rich animation studios
29272,jones entertainment group,jones entertainment group
29273,skerry productions,skerry productions
2596,jerry weintraub productions,jerry weintraub productions
11134,iguana producciones,iguana producciones
347,centropolis entertainment,centropolis entertainment
10320,carolco entertainment,carolco entertainment
359,figment films,figment films
980,the glasgow film fund,the glasgow film fund
78701,kino korsakoff,kino korsakoff
6647,tabasco films,tabasco films
