director_id,name,gender
1474970,George Camarda,x
581423,Lloyd Kramer,m
1213083,Michael Lessac,x
1739942,Gregory Palmer,x
1168119,Oren Shai,x
36842,Rudolf Jugert,m
1393858,Stanton Barrett,m
56194,Paolo Sorrentino,m
93078,Kôhei Oguri,x
34751,Ray Enright,m
77128,Lorraine Lévy,x
61798,Warwick Ross,x
107454,Henry Cornelius,m
101225,Bert I. Gordon,m
557210,Bejoy Nambiar,x
86662,David Sington,m
1191222,Arthur Louis Fuller,x
1867694,Alessandro Vivarelli,x
4065,Fred Zinnemann,x
51696,Artie Mandelberg,x
1,George Lucas,m
1387367,Yang Qing,x
969268,Johanna Lee,x
228286,Duncan McLachlan,m
1099404,Ann McElhinney,x
1165667,Khoa Lê,x
239321,Moufida Tlatli,x
561927,Ian Palmer,m
23315,John Goldschmidt,x
1270225,Alexandre Espigares,x
17698,Nancy Meyers,f
937484,Oh Seong-yun,x
587997,Vasanthabalan,m
1377180,Josh Baker,x
1354348,Naksit Wechkanjana,x
591123,Anand L Rai,x
1568835,Mary Chaffee,x
120334,Helen McCaffrey,x
1329710,Gaspard Kuentz,x
1283213,Lev Kalman,x
1622323,Heather Fischer,x
146295,Yim Ho,x
131870,Daryl Wein,m
1176694,James Szalapski,x
91730,Jeff Lew,x
1096726,Simon Cahn,x
1518676,Tatsuya Oishi,x
1028445,Hajime Ohata,x
11195,Gérard Oury,m
1732670,Kimberly Weeks,x
1061135,Peter Engert,x
56151,Peter Winther,m
143188,Robert Fortier,x
126259,Hiroshi Watanabe,x
209819,Pat Kiely,m
1533864,Khalish Lucknavi,x
279107,Peter Lynch,x
1082401,Andy Wells,x
95890,Lou Peterson,x
148082,Sacha Guitry,x
1457708,Toby Forlenza,x
1204029,Ron Senkowski,x
79000,Manuel Martín Cuenca,x
1107609,Maria Sadowska,x
17350,Kevin Macdonald,m
69634,Jakub Goldberg,x
92508,Lee Whittaker,x
1729053,Anna Abrams,x
1357434,Tony Elliott,m
108914,Mitchell Leisen,m
225766,Angelo Longoni,x
10121,Selwyn Roberts,x
148011,Jari Halonen,x
1827317,Matthew Blecha,m
93533,Tristan Aurouet,x
131664,Wayne Blair,x
1209672,Jennifer Conrad,x
86514,Yi Seung-jun,x
1467080,Lisa Katcher,f
1414140,Lea Glob,x
1374315,Isaac Feder,x
2206,Samantha Morton,f
126467,Christopher N. Rowley,m
1271317,John Maloof,x
1642929,Jesper Danielsson,x
151467,Jack Curtis,m
29626,William Tannen,m
55476,Nicholas Hytner,m
117561,Michael W. Leighton,m
84335,Joe Lynch,m
935850,Christopher Reynolds,x
1584743,Mariya Chugunova,x
1310644,Peter D. Hutchison,x
1499996,Vahe Gabuchian,m
376896,Marcos Prado,m
105643,Jay Oliva,m
73656,Monica Stambrini,x
67834,Floyd Mutrux,m
1448889,Claire Carré,x
57633,Rawson Marshall Thurber,x
1747145,Howard Hohler,x
77863,Toni Myers,f
1583004,Archie Hill,x
12259,Vittorio Gassman,x
1063997,Mirko Locatelli,x
1118343,Mark Lund,x
40893,Tiziano Cortini,x
1058162,Alec Tuckman,x
1023674,Alan Wade,x
930435,Graham Ralph,x
1421663,Kim Armitage,x
1288327,Britni West,x
87326,Andrews Jenkins,m
141886,Adam Sherman,m
133185,Henri Cartier-Bresson,x
227679,Anthony Scarpa,x
1402971,Geoffrey Orthwein,x
1093261,Victor Kargan,x
1124970,Jay Bulger,x
140192,Assaf Bernstein,x
103360,Arch Oboler,m
92004,Joreta C. Cherry,f
587621,Александр Зельдович,m
1109285,Eliaichi Kimaro,x
1474981,Linda Haftel,x
560142,Dodo Abashidze,x
1532987,Scott Hartford-Davis,x
570365,Gian Alfonso Pacinotti,x
120259,Philip Ford,x
1570072,Anna Nikolaou,x
112585,Rick Goldsmith,x
1699960,Elide Martini,x
19804,Manuel Huerga,x
1425397,Kristin Witcombe,x
1280968,Peter Vacz,x
6223,Deepak Nayar,m
74060,Amy Berg,x
1162313,Paul Ashton,x
81749,Manoel de Oliveira,x
118606,Janus Metz Pedersen,m
55149,John Paizs,x
18379,Hal W. Polaire,x
1551556,Sara Jordenö,f
1194568,John Weldon,x
1833493,Patrick Clayton,m
136183,Adam Busch,m
18635,Ted Post,m
545427,Nicolas Klotz,x
162392,Rob Grant,m
1477466,Kathryn Weygand,x
1447879,Rick Mele,x
3229,Arliss Howard,m
2291,Paul McGuigan,x
1120003,Alekos Sakellarios,m
937659,Judd Ehrlich,m
1490473,Colin Offland,x
130367,Raymond Lee Wai-Man,x
1572150,Nicole Lucas Haimes,x
100296,Peter Sasdy,m
55516,Filipp Yankovsky,x
544411,Mitch Schultz,x
550045,Jeff Zimbalist,m
126142,Jessie Deeter,x
117865,Jud Taylor,x
1311722,Mike Carter,x
78845,Arthur Lubin,m
1065687,Maurice Cloche,x
1118977,Stipe Delić,x
26328,Tom Toelle,m
1728671,Andrew Ice,x
531737,Yoon Seong-hyeon,m
1068104,John H. Collins,x
1102322,Jonah Bekhor,m
15774,Chris Buck,x
572295,Howard J. Ford,m
67967,Adriano Celentano,m
74376,Cem Yılmaz,x
229135,Alanté Kavaïté,x
23757,Joshua Brand,m
1310888,José Manuel Cravioto,x
1849235,Valerie E. Norman,f
5872,Joshua Marston,x
64227,Brandon Trost,m
588736,Matt Wolf,x
225586,Michael Scott,x
89758,Abdullah Oguz,x
70579,Serdar Akar,x
97573,Lee Sholem,m
1445490,Ashley Hudson,x
1691679,Maria Davidovici,f
21958,Mark Rydell,m
1394728,Kristin Ludwin,x
10139,Leni Riefenstahl,f
1042212,Thomas C. Grane,x
1139304,Guglielmo Garroni,x
64754,Andrew Currie,m
1018522,Sarah McCarthy,x
130023,Stuart Burge,x
53296,Joshua Oppenheimer,m
1433989,Tessa Blake,x
70282,David Weisman,x
1068144,Samuli Valkama,x
